titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Lại Gặp Được Em,Chapter 148.8,"Thể loại:Manhua, Ngôn Tình, Romance, School Life, Shoujo, Truyện Màu",Lượt xem:35M,Theo dõi:145K,Tình trạng:Đang tiến hành,"Thời cấp 3 hai người vì hiểu nhầm mà bỏ lỡ nhau, sau khi tốt nghiệp đại học trở về trường cấp 3 cũ dạy học. 7 năm xa cách, nam chính lại không nhận ra cô là người con gái năm ấy!? Một cô giáo dạy thể dục mặt lạnh không hiểu tình đời, một thầy giáo dạy toán ôn nhu luôn mỉm cười nhưng xấu bụng, gặp nhau lần nữa, cảnh còn người mất, tình cảm không tật mà chết phải chăng có thể bắt đầu lại từ đầu? Mà bí mật thời cấp 3 ấy cũng đang dần được hé mở…",//st.nettruyenup.com/data/comics/45/lai-gap-duoc-em.jpeg,https://www.nettruyenup.com/truyen-tranh/lai-gap-duoc-em-246210
Đầu bếp trẻ nhất tới từ khách sạn hạng ba,Chapter 58,"Thể loại:Comedy, Cooking, Manhwa, Shounen, Truyện Màu, Webtoon",Lượt xem:2.977K,Theo dõi:38K,Tình trạng:Đang tiến hành,"Kang Sunghoon, thành viên nhỏ tuổi nhất trong nhà bếp của khách sạn 4 sao tại Hàn Quốc; có khả năng đọc kí ức của các loại nguyên liệu khác nhau. Tuy nhiên, vì là người trẻ nhất, anh ấy vẫn không thể thoát khỏi công việc rửa bát nhàm chán...",//st.nettruyenup.com/data/comics/147/dau-bep-tre-nhat-toi-tu-khach-san-hang-b-7566.jpg,https://www.nettruyenup.com/truyen-tranh/dau-bep-tre-nhat-toi-tu-khach-san-hang-ba-623561
Vì Hận Tái Sinh ~Người phụ nữ vì phục thù mà từ bỏ gương mặt của mình~,Chapter 6,Tác giả:Fujimori Harumi,Lượt xem:26K,Theo dõi:1.083,Tình trạng:Đang tiến hành,"Một cô gái với cuộc đời bị lấy đi tất cả mọi thứ do bị bắt nạt, vu oan đã tái sinh thành một người khác và cô quyết định trả thù tất cả những ai đã góp phần đẩy cuộc đời mình vào bước đường cùng! Ichimura Hana, một cô gái sinh ra và lớn lên ở Karafuto, bị bắt nạt dã man tại một trường nữ sinh vì ngoại hình xấu xí của mình. Cầm đầu nhóm bắt nạt cô là Takashimazu Ayako, thiên kim tiểu thư của công ty sản xuất giấy lớn nhất Karafuto thời bấy giờ. Sau một lần bị vu cáo là kẻ trộm, Hana đã bị đuổi học.Một thời gian sau, trong một cuộc di tản bởi trận không kích của quân Liên Xô, gia đình Hana đáng ra đã lên được một con tàu để thoát khỏi Karafuto đến Hokkaido, nhưng cả nhà cô đã bị xua đuổi khỏi tàu bởi chính sự vu cáo của bè lũ bắt nạt đó...",//st.nettruyenup.com/data/comics/106/vi-han-tai-sinh-nguoi-phu-nu-vi-phuc-thu-4610.jpg,https://www.nettruyenup.com/truyen-tranh/vi-han-tai-sinh-nguoi-phu-nu-vi-phuc-thu-ma-tu-bo-guong-mat-cua-minh-79466
Độc Cô Tử Linh Sư,Chapter 79,"Thể loại:Action, Fantasy, Manhwa, Shounen, Supernatural, Truyện Màu, Webtoon",Lượt xem:5.769K,Theo dõi:78K,Tình trạng:Đang tiến hành,"Thế giới đang bước đến bờ vực diệt vong. Các loài quái vật trong truyền thuyết xuất hiện ở khắp nơi. Chúng ăn thịt loài người, xâm chiếm mọi nẻo đường và xây dựng hầm ngục ở các toà nhà và đường ngầm. Bạn sẽ chọn chức nghiệp gì cho bản thân trong cái thế giới hỗn mang này? Đối với tôi, một tử linh pháp sư thì sự diệt vong là thế mạnh và cái chết chính là sự thăng hoa",//st.nettruyenup.com/data/comics/12/doc-co-tu-linh-su.jpg,https://www.nettruyenup.com/truyen-tranh/doc-co-tu-linh-su-486520
Sự Trở Lại Của Người Chơi Bị Đóng Băng,Chapter 69,Tình trạng:Đang tiến hành,Bình luận:2.414,Ngày cập nhật:1 ngày trước,Lượt xem:7.776K,"5 năm sau khi thế giới thay đổi, trùm cuối xuất hiện. [Trùm cuối của khu vực Trái đất, Nữ hoàng băng giá, đã xuất hiện.] Trùm cuối! Nếu chúng ta có thể đánh bại cô ấy, cuộc sống của chúng ta sẽ trở lại bình thường! Năm người chơi hàng đầu thế giới, bao gồm cả Spectre Seo Jun-ho, cuối cùng đã đánh bại Frost Queen ... Nhưng họ đã chìm vào giấc ngủ sâu. 25 năm trôi qua. ""Tầng thứ hai? Nó không kết thúc khi Nữ hoàng băng giá chết? Bóng ma tỉnh dậy sau giấc ngủ của mình.",//st.nettruyenup.com/data/comics/64/su-tro-lai-cua-nguoi-choi-bi-dong-bang.jpg,https://www.nettruyenup.com/truyen-tranh/su-tro-lai-cua-nguoi-choi-bi-dong-bang-384657
Nhà Hàng Thợ Săn Quái Vật,Chapter 32,"Thể loại:Action, Manhwa, Truyện Màu",Lượt xem:2.045K,Theo dõi:39K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/68/nha-hang-tho-san-quai-vat.jpg,https://www.nettruyenup.com/truyen-tranh/nha-hang-tho-san-quai-vat-73540
Chuyển Sinh Thành Tiêu Sư,Chapter 33,Tình trạng:Đang tiến hành,Bình luận:796,Ngày cập nhật:1 ngày trước,Lượt xem:927K,,//st.nettruyenup.com/data/comics/157/chuyen-sinh-thanh-tieu-su.jpg,https://www.nettruyenup.com/truyen-tranh/chuyen-sinh-thanh-tieu-su-65949
Mật Mã Mê Cung,Chapter 58,Tình trạng:Đang tiến hành,Bình luận:2.530,Ngày cập nhật:1 ngày trước,Lượt xem:1.878K,,//st.nettruyenup.com/data/comics/54/mat-ma-me-cung.jpg,https://www.nettruyenup.com/truyen-tranh/mat-ma-me-cung-66870
Chơi Game Cứu Nhân Loại,Chapter 5,Tình trạng:Đang tiến hành,Bình luận:89,Ngày cập nhật:1 ngày trước,Lượt xem:20K,,//st.nettruyenup.com/data/comics/168/choi-game-cuu-nhan-loai.jpg,https://www.nettruyenup.com/truyen-tranh/choi-game-cuu-nhan-loai-79272
Tồn Tại Vĩnh Hằng,Chapter 32,Tình trạng:Đang tiến hành,Bình luận:4.429,Ngày cập nhật:1 ngày trước,Lượt xem:2.441K,"Một ngày nọ, nó là một đàn kiến, và một ngày nó là một con khủng long. Kiếp cuối cùng của một chúng sinh đã trải qua các kiếp khác nhau qua hàng vạn kiếp luân hồi. Anh ta được sinh ra như một con người với tất cả sức mạnh của các kiếp trước mà anh ta từng trải qua. Tại sao bạn có khả năng này? Izin cuối cùng cũng nhận ra. 'Tôi tồn tại để tiêu diệt loài người'",//st.nettruyenup.com/data/comics/139/ton-tai-vinh-hang.jpg,https://www.nettruyenup.com/truyen-tranh/ton-tai-vinh-hang-67723
Chúa Quỷ Tăng Cấp Bằng Võ Thuật,Chapter 32,Tình trạng:Đang tiến hành,Bình luận:629,Ngày cập nhật:2 ngày trước,Lượt xem:920K,"""Quỷ Vương."" Đó là… Cái mà họ thường gọi tôi ở kiếp trước, trước khi tôi trở thành con người.",//st.nettruyenup.com/data/comics/68/chua-quy-tang-cap-bang-vo-thuat.jpg,https://www.nettruyenup.com/truyen-tranh/chua-quy-tang-cap-bang-vo-thuat-74308
Sát Thủ Tống Lý Thu,Chapter 26,Tình trạng:Đang tiến hành,Bình luận:695,Ngày cập nhật:2 ngày trước,Lượt xem:491K,,//st.nettruyenup.com/data/comics/216/sat-thu-tong-ly-thu.jpg,https://www.nettruyenup.com/truyen-tranh/sat-thu-tong-ly-thu-68824
Thợ Săn Thiên Tài Hồi Quy Thành Lao Công,Chapter 31,Tình trạng:Đang tiến hành,Bình luận:1.472,Ngày cập nhật:2 ngày trước,Lượt xem:869K,"Kim Jun-Woo, thợ săn thiên tài cấp SSS đầu tiên trên thế giới.  Anh ta là một người sử dụng năng lực đáng kinh ngạc, nhưng tính cách kinh khủng của anh ta dẫn đến vấn đề với danh tiếng của anh ta.  anh ta đã bị tấn công và giết bởi một nhóm người không xác định.  Và khi mở mắt ra, anh đã trở về quá khứ của 10 năm trước. Mặc dù anh ta cố gắng trở thành thợ săn một lần nữa và nâng cao thứ hạng của mình, nhưng các kỹ năng của anh ta đều bị phong ấn bởi nghiệp chướng của kiếp trước.  Để giải phong ấn, anh ta cần phải làm việc như một 'Người dọn dẹp hầm ngục'",//st.nettruyenup.com/data/comics/211/tho-san-thien-tai-hoi-quy-thanh-lao-cong-3395.jpg,https://www.nettruyenup.com/truyen-tranh/tho-san-thien-tai-hoi-quy-thanh-lao-cong-64467
Tôi bị bọn họ tìm đến tận cửa sau khi tỏ tình hàng loạt,Chapter 29,Tình trạng:Đang tiến hành,Bình luận:593,Ngày cập nhật:19 giờ trước,Lượt xem:368K,"Hội trưởng hội học sinh Lâm Khinh Khinh sau khi nhận được tin nhắn tỏ tình hàng loạt của Hứa Phong, cô tức giận tìm đến tận cửa nhà cậu ta. Cuộc sống vốn bình thường, yên bình của cô đã hoàn toàn đảo lộn.",//st.nettruyenup.com/data/comics/20/toi-bi-bon-ho-tim-den-tan-cua-sau-khi-to-713.jpg,https://www.nettruyenup.com/truyen-tranh/toi-bi-bon-ho-tim-den-tan-cua-sau-khi-to-tinh-hang-loat-74260
Tình Yêu Của Chieri Cao Tới Tận 8 Mét,Chapter 15,"Thể loại:Comedy, Manga, Romance, School Life",Tình trạng:Đang tiến hành,Bình luận:480,Tác giả:Mitogawa Wataru,Cô bạn thân thở nhỏ chuyển trường tới với chiều cao... 8 mét!? Rom-com đuôi chuột ngoáy lọ mỡ (･ω･),//st.nettruyenup.com/data/comics/222/tinh-yeu-cua-chieri-cao-toi-tan-8-met.jpg,https://www.nettruyenup.com/truyen-tranh/tinh-yeu-cua-chieri-cao-toi-tan-8-met-73950
Ninita Yêu Dấu,Chapter 73,Tình trạng:Đang tiến hành,Bình luận:631,Ngày cập nhật:19 giờ trước,Lượt xem:1.029K,"Câu chuyện diễn ra tại Đế quốc Alstraus ở Lục địa phía Tây, nơi loài người và tộc quái vật xung đột và chiến đấu từ ngày này qua ngày khác. Nữ chính Ninita, là con gái duy nhất của Hầu tước, từ nhỏ đã ngây thơ và thông minh xuất chúng, có tài năng diệt trừ yêu quỷ rất tốt, ai cũng mong cô ấy sẽ tu luyện trở thành một tu sĩ ngàn năm hiếm gặp, nhưng sau đó, định mệnh đưa đẩy, cô đã yêu Jeff – vị vua của sói.",//st.nettruyenup.com/data/comics/117/ninita-yeu-dau.jpg,https://www.nettruyenup.com/truyen-tranh/ninita-yeu-dau-564370
Công Tước Ác Quỷ Không Ngủ Được,Chapter 55,"Thể loại:Action, Cổ Đại, Manhwa, Ngôn Tình, Romance, Truyện Màu",Lượt xem:1.691K,Theo dõi:39K,Tình trạng:Đang tiến hành,"Công tước Kahel Luave, vị công tước đen đủi, là người không thể giữ nổi một người hầu bên mình vì bản chất quỷ quái chuyên quyến rũ đàn ông và phụ nữ ở mọi lứa tuổi. Đã gặp gỡ Lena, một người hầu gái với một hiến pháp hiếm có, nơi những bùa chú ma quỷ không có tác dụng.",//st.nettruyenup.com/data/comics/134/cong-tuoc-ac-quy-khong-ngu-duoc.jpg,https://www.nettruyenup.com/truyen-tranh/cong-tuoc-ac-quy-khong-ngu-duoc-551744
Kiếp này tôi nhất định trở thành gia chủ!,Chapter 104,"Thể loại:Chuyển Sinh, Drama, Fantasy, Manhwa, Ngôn Tình, Romance, Truyện Màu, Webtoon",Tình trạng:Đang tiến hành,Bình luận:16K,Tác giả:Kim Roah,"Firentia trùng sinh thành đứa con ngoài giá thú của Lombardi, gia tộc danh giá nhất của đế quốc. Sau khi cha qua đời, cô bị họ hàng xua đuổi, gia tộc bị hủy hoại. Quá đau buồn và tức giận, Tia đã uống khá nhiều rượu và bị xe ngựa đâm trúng trên đường về. Mở mắt ra cô lại trùng sinh thêm một lần nữa về thời điểm chưa tròn 8 tuổi. Lần này cô quyết sẽ thay đổi vận mệnh, bảo vệ gia tộc. Kiếp này, cô nhất định trở thành gia chủ.",//st.nettruyenup.com/data/comics/18/kiep-nay-toi-nhat-dinh-tro-thanh-gia-chu-4492.jpg,https://www.nettruyenup.com/truyen-tranh/kiep-nay-toi-nhat-dinh-tro-thanh-gia-chu-384185
Vạn Cổ Tối Cường Tông,Chapter 216,Tình trạng:Đang tiến hành,Bình luận:40K,Ngày cập nhật:19 giờ trước,Lượt xem:44M,,//st.nettruyenup.com/data/comics/175/van-co-toi-cuong-tong.jpg,https://www.nettruyenup.com/truyen-tranh/van-co-toi-cuong-tong-416470
"Báo Cáo Bạo Quân , Phi Tần Là Tổ Tông Của Người",Chapter 6,"Thể loại:Chuyển Sinh, Manhua, Ngôn Tình, Truyện Màu",Lượt xem:53K,Theo dõi:3.887,Tình trạng:Đang tiến hành,"Bẩm Bạo Quân, Quý Phi Nói Nàng Là Tổ Tông Của Người!",//st.nettruyenup.com/data/comics/144/bao-cao-bao-quan-phi-tan-la-to-tong-cua-6406.jpg,https://www.nettruyenup.com/truyen-tranh/bao-cao-bao-quan-phi-tan-la-to-tong-cua-nguoi-78992
Lão Đại Xuyên Không Gả Cho Phu Quân Mù,Chapter 45,"Thể loại:Cổ Đại, Manhua, Ngôn Tình, Truyện Màu, Xuyên Không",Lượt xem:4.301K,Theo dõi:80K,Tình trạng:Đang tiến hành,"Tống ca một lão đại chủ cả của công ty , vô tình bị biển quảng cáo đập vào đầu khiến cho cô bị xuyên không vào tiểu thuyết , phải gả cho phu quân mù , từ giờ cuộc sống của một đại lão sẽ tiếp diễn ra sao đây",//st.nettruyenup.com/data/comics/188/lao-dai-xuyen-khong-ga-cho-phu-quan-mu.jpg,https://www.nettruyenup.com/truyen-tranh/lao-dai-xuyen-khong-ga-cho-phu-quan-mu-62908
Phương Thức Nuôi Dưỡng Nhân Vật Phản Diện,Chapter 46,"Thể loại:Cổ Đại, Manhua, Ngôn Tình, Shoujo, Truyện Màu, Xuyên Không",Lượt xem:883K,Theo dõi:28K,Tình trạng:Đang tiến hành,"Ngoài ý muốn xuyên vào tiểu thuyết làm nữ pháo hôi, với nhiệm vụ xoay chuyển cục diện kết cục bị diệt môn , và cứu chuộc nam phản diện khỏi kết cục chết, nhưng ở chung với nhân vật phản diên trong tương lai này lại phát hiện ra nhân vật phản diện này không hề giống ta đã nghĩ tí nào, cuộc chinh phục thuần dưỡng nam phụ khó hơn ta tưởng tượng rất nhiều",//st.nettruyenup.com/data/comics/187/phuong-thuc-nuoi-duong-nhan-vat-phan-die-297.jpg,https://www.nettruyenup.com/truyen-tranh/phuong-thuc-nuoi-duong-nhan-vat-phan-dien-62907
"Trường Sinh Bất Lão, Ta Cưới Tà Thần Về Làm Vợ",Chapter 8,"Thể loại:Action, Ngôn Tình, Romance, Truyện Màu",Tình trạng:Đang tiến hành,Bình luận:783,Tác giả:Mộng Tiên Giới,"Trường sinh giả Lâm Trạch, triệu hoán một lão bà tà thần, đến làm bạn với mình vượt qua cuộc sống cô đơn dài dằng dặc... Vốn nên sống một cuộc sống hạnh phúc bên nhau, nhưng hai nhân vật này có sinh mệnh vĩnh hằng vô hạn này, hình như đều có mục đích riêng của mình...",//st.nettruyenup.com/data/comics/157/truong-sinh-bat-lao-ta-cuoi-ta-than-ve-l-364.jpg,https://www.nettruyenup.com/truyen-tranh/truong-sinh-bat-lao-ta-cuoi-ta-than-ve-lam-vo-75421
Sau Khi Max Độ Yêu Thích,Chapter 121,"Thể loại:Comedy, Fantasy, Harem, Manhua, Truyện Màu",Lượt xem:4.636K,Theo dõi:38K,Tình trạng:Đang tiến hành,"Sau khi nâng mức độ yêu thích của các nhân vật trong game tiên hiệp ""Thượng Ương"" lên mức max, Lưu Viễn lập tức xuyên không.Vì thế, sự lừa dối xấu xa nhất trong lịch sử giới Thượng Ương, và ""cao thủ tình trường"" hiếm có đã ra đời",//st.nettruyenup.com/data/comics/36/sau-khi-max-do-yeu-thich.jpg,https://www.nettruyenup.com/truyen-tranh/sau-khi-max-do-yeu-thich-550760
New Game!,Chapter 121,Tác giả:TOKUNOU Shoutarou,Lượt xem:320K,Theo dõi:3.952,Tình trạng:Đang tiến hành,"Aoba suzukaze một cô gái mối tốt nghiệp cao trung nhưng vẫn hay thường bị nhầm lẫn với học sinh sơ trung, cô ấy làm họa sỹ tại công ty sản xuất game yêu thích nhất của mình. Câu chuyện được viết với một phong cách nhí nhảnh và dễ thương được thể hiện qua những bức 4-koma.",//st.nettruyenup.com/data/comics/188/new-game.jpg,https://www.nettruyenup.com/truyen-tranh/new-game-68441
Kakkou no Iinazuke,Chapter 105,"Thể loại:Comedy, Manga, Romance, School Life, Shounen, Slice of Life",Tình trạng:Đang tiến hành,Bình luận:4.090,Tác giả:Yoshikawa Miki,"Hai đứa trẻ khi sinh ra đã bị trao nhầm cha mẹ!? Một bên là học sinh giỏi gương mẫu được nuôi lớn bởi một gia đình TỪNG LÀM ĐẦU GẤU ở trường, còn một bên là bánh bèo ngốc nghếch sống trong GIA ĐÌNH GIÀU CÓ!? Cuộc gặp gỡ của hai người họ là một khởi đầu cho số phận dở khóc dở cười P/s: Đây là một trong 3 oneshot đã được tác giả đăng trên tạp chí Weekly Shonen Magazine (với mục đích là từ 1 trong 3 oneshot đó sẽ được lên kệ thành series vào năm 2020) , và cũng là oneshot có lượt tương tác và thích nhiều nhất, nên chúng ta có thể phần nào hóng bộ này được lên series chứ nhỉ  (và 7 Fingers Team sẽ dịch bộ này khi nào có thông báo  tôi hóng cũng phải được gần 4 tháng rồi đấy  )Ủng hộ nhóm dịch tại: ..",//st.nettruyenup.com/data/comics/202/kakkou-no-iinazuke.jpg,https://www.nettruyenup.com/truyen-tranh/kakkou-no-iinazuke-265700
Đại Phụng Đả Canh Nhân,Chapter 122,Tình trạng:Đang tiến hành,Bình luận:3.999,Ngày cập nhật:19 giờ trước,Lượt xem:6.812K,,//st.nettruyenup.com/data/comics/107/dai-phung-da-canh-nhan.jpg,https://www.nettruyenup.com/truyen-tranh/dai-phung-da-canh-nhan-556590
Ngự Thú Phản Khoa Học,Chapter 30,Tình trạng:Đang tiến hành,Bình luận:582,Ngày cập nhật:19 giờ trước,Lượt xem:606K,"Hẳn là vì Thời Vũ đẹp trai nên chết một kiếp lại được xuyên qua sống tiếp một cuộc đời mới. Ở cái thế giới mới với chủ đạo là ngự thú này, sao quốc bảo Gấu Trúc khổng lồ của dân tộc ta lại chỉ là một con ngự thú trung cấp??? Nào còn là tọa kỵ của Xi Vưu, Cửu Vĩ Viêm Hồ, Khô Lâu Quân Chủ,... nào còn oai phong lẫm liệt, thật mất mặt...  Thôi được rồi, chẳng phải ""nỗ lực + bật hack"" mới là vương đạo sao? Con gấu kia, ngươi chỉ cần nỗ lực, chuyện bật hack cứ giao cho Thời Vũ ta.",//st.nettruyenup.com/data/comics/94/ngu-thu-phan-khoa-hoc.jpg,https://www.nettruyenup.com/truyen-tranh/ngu-thu-phan-khoa-hoc-75102
Player,Chapter 46,Tình trạng:Đang tiến hành,Bình luận:702,Ngày cập nhật:19 giờ trước,Lượt xem:650K,,//st.nettruyenup.com/data/comics/0/player.jpg,https://www.nettruyenup.com/truyen-tranh/player-286720
"Please Go Home, Akutsu-san!",Chapter 132,"Thể loại:Comedy, Ecchi, Manga, Romance, School Life",Tình trạng:Đang tiến hành,Bình luận:9.893,Tác giả:Nagaoka Taichi,"Ooyama-kun học sinh cá biệt trong lớp Akutsu-san, vì một vài lý do , cô ấy biến nhà anh thành nơi lui tới! Ooyama sẽ làm điều gì đó kinh khủng với cô ấy hay anh sẽ đuổi cô ấy ra ngoài? Nhưng đối phó với cử chỉ dễ thương, đáng yêu của Akutsu-san, trong một không gian chật hẹp như vậy, anh ta chắc sẽ bối rối! Liệu anh còn muốn cô ấy về nhà? Một bộ phim hài hước dưới một mái nhà.",//st.nettruyenup.com/data/comics/190/please-go-home-akutsu-san.jpg,https://www.nettruyenup.com/truyen-tranh/please-go-home-akutsu-san-288620
Usogui,Chapter 70,Tác giả:Sako Toshio,Lượt xem:224K,Theo dõi:1.799,Tình trạng:Đang tiến hành,"Trong các sòng bạc chui tại nhật bản,nơi mạng sống của người chơi cũng có thể mang ra cá cược như những món đồ.Sòng bạc cùng các thế lực lớn ở đây luôn tìm mọi cách để móc túi người chơi,biến họ thành những con nợ.Baku Madarame một con bạc đã giúp nhiều người thoát khỏi cám dỗ.....",//st.nettruyenup.com/data/comics/77/usogui.jpg,https://www.nettruyenup.com/truyen-tranh/usogui-49410
Đáng Yêu Thế Này Thì Biết Làm Sao Đây,Chapter 7,"Thể loại:Cổ Đại, Manhwa, Ngôn Tình, Truyện Màu",Lượt xem:109K,Theo dõi:8.784,Tình trạng:Đang tiến hành,"Roseny, một đứa trẻ mồ côi đã bị hiểu lầm là bé trai ngay từ khi còn nhỏ. Vào ngày nọ, một quý tộc bỗng tìm đến trại trẻ mồ côi đột ngột chọn cô. Mục đích để cô cùng vui đùa với thiếu gia nhà họ. Ngay khi họ biết cô thực ra là con gái, không biết chừng họ sẽ đưa cô trở lại trại trẻ mồ côi. Vậy nên nhất định phải cẩn thận và quyết tâm tìm mọi cách để sống sót. “Cậu…cậu là con gái?” Cô đã bị phát hiện vào một ngày nọ! Ngay khoảnh khắc sự thật được tiết lộ trước mặt công tước. Họ sẽ đuổi cô ra thế này hay là cô sẽ bị phạt nặng vì tội lừa dối quý tộc? Đột nhiên cô cảm thấy lạnh sóng lưng. Vậy nên cô có ý định sẽ cầu xin thử xem. “A, nhìn như búp bê ấy!” “Cậu! Đừng trở thành đối tượng vui đùa cùng mình nữa, mà hãy trở thành em gái của mình đi!” Trái với suy nghĩ của cô, phản ứng của họ có vẻ tốt? “Đáng yêu quá, cứ thế thì không được rồi!” Vì lí do dễ thương nên Roseny đã ở lại!",//st.nettruyenup.com/data/comics/164/dang-yeu-the-nay-thi-biet-lam-sao-day.jpg,https://www.nettruyenup.com/truyen-tranh/dang-yeu-the-nay-thi-biet-lam-sao-day-78500
Em Chỉ Có Thể Là Của Tôi,Chapter 33,"Thể loại:Josei, Manhua, Soft Yuri, Truyện Màu",Lượt xem:1.039K,Theo dõi:21K,Tình trạng:Đang tiến hành,"Trong giới giải trí có hai người phụ nữ có cùng tên, một người tên là Khúc Hi Chi và một người tên là Cố Hi Chi. Bởi vì đối phương không chỉ ""cướp"" phim của mình, còn ""cướp"" bạn trai cũ của mình, Cố Hi Chi vốn ôm hận khúc Hi Chi, hết lần này tới lần khác ""nhân duyên tốt"" thục nữ hoàn mỹ Khúc Hi Chi nhất định phải đến trêu chọc mình, tìm mọi cách ân cần muốn cùng mình làm bằng hữu?! Ngạo Kiều thẳng nữ rơi vào cạm bẫy của thục nữ hoàn mỹ, từng bước bị ""đối thủ chết"" hướng dẫn...",//st.nettruyenup.com/data/comics/197/em-chi-co-the-la-cua-toi.jpg,https://www.nettruyenup.com/truyen-tranh/em-chi-co-the-la-cua-toi-67525
Oan gia chung nhà !,Chapter 77,"Thể loại:Comedy, Fantasy, Manga, Romance",Lượt xem:7.073K,Theo dõi:77K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/227/oan-gia-chung-nha.jpg,https://www.nettruyenup.com/truyen-tranh/oan-gia-chung-nha-424670
Cực Phẩm Tiên Đế,Chapter 96,"Thể loại:Action, Comedy, Fantasy, Manhua, Truyện Màu",Lượt xem:8.187K,Theo dõi:44K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/36/cuc-pham-tien-de.jpg,https://www.nettruyenup.com/truyen-tranh/cuc-pham-tien-de-425320
Genjitsu Shugi Yuusha no Oukoku Saikenki,Chapter 50,"Thể loại:Action, Adventure, Drama, Fantasy, Harem, Manga, Xuyên Không",Lượt xem:3.981K,Theo dõi:34K,Tình trạng:Đang tiến hành,"Câu chuyện kể về chàng trai được quốc vương triệu hồi xuyên không qua thế giới khác , nó giỏi quá nên quốc vương nhường cmn ngôi luôn, rồi từ từ được gã công chúa luôn, đù móe đời!",//st.nettruyenup.com/data/comics/201/genjitsu-shugi-yuusha-no-oukoku-saikenki-9950.jpg,https://www.nettruyenup.com/truyen-tranh/genjitsu-shugi-yuusha-no-oukoku-saikenki-168410
Fate/Grand Order-mortalis:stella,Chapter 10.1,Tình trạng:Đang tiến hành,Bình luận:18,Ngày cập nhật:20 giờ trước,Lượt xem:70K,Một trong hai tác phẩm chính truyện chuyển thể từ game Fate/Grand Order. Câu chuyện được dựa trên góc nhìn của nhân vật Mash.,//st.nettruyenup.com/data/comics/17/fategrand-order-mortalisstella.jpg,https://www.nettruyenup.com/truyen-tranh/fategrand-order-mortalisstella-174250
Sự Điều Trị Đặc Biệt Của Tinh Linh,Chapter 47,"Thể loại:Adventure, Chuyển Sinh, Cổ Đại, Comedy, Manhwa, Ngôn Tình, Romance, Truyện Màu, Xuyên Không",Lượt xem:3.414K,Theo dõi:66K,Tình trạng:Đang tiến hành,"Đó là thời đại chiếm hữu phổ biến Tôi sinh ra và lớn lên là một cô gái trẻ luôn quan tâm và chăm sóc trẻ em, luôn được sống mà nhận được rất nhiều tình yêu thương Điều số 1 phải tránh trong việc gây thất vọng đối với độc giả. Thế là tôi đã sở hữu một cơ thể của nhân vật nào đó trong bộ tiểu thuyết có tên là : Trở về cho đến khi thế giới được cứu rỗi Tôi đã ở mức độ sinh tồn cấp S. Tôi đã trở thành một nhân vật điều trị đặc biệt. Ellet, người chẳng phải là con gái của Bá tước mà là con gái của một nữ hầu. Dù điều đó chưa đủ, nhưng tôi lại có một người anh và người cha tốt. Tôi có một người bạn thân mà trước đây tôi ít khi kết thân vì tôi luôn bận rộn Ngay cả thần linh của Cục Quản lý Di trú cũng công khai yêu mến tôi. Tôi đang sống một cuộc sống đầy tự tin. Trên hết, tôi đã vô tình mua gói ‘Bảo hiểm nhân thọ’ ngay trước khi tôi qua đời. Tôi lên cấp nhờ phép tăng trưởng tốc độ cao và siêng năng phá hủy cốt truyện ban đầu. Nhờ có rất nhiều đặc quyền, tôi đã mang đến sự hài lòng cho tất cả những độc giả thất vọng của tác phẩm gốc. ” Cô đang lau mặt cho ta bằng đôi tay bẩn thỉu đó à? ” “…” ” Đừng ngạc nhiên quá, chỉ là giờ ta đang có nhiệm vụ phải đối xử tử tế thôi ” Thesilid, nam chính không khác gì một người đẹp trai đã bị đẩy qua “Tại sao anh ta lại xảo quyệt với tôi thế này?”",//st.nettruyenup.com/data/comics/197/su-dieu-tri-dac-biet-cua-tinh-linh.jpg,https://www.nettruyenup.com/truyen-tranh/su-dieu-tri-dac-biet-cua-tinh-linh-63685
